Token;Label
PREMIÈRE;
PARTIE;
I;
--;
LA;
FABRIQUE;
Je;
suis;
né;
le;
13;
mai;
18;
...;
;
dans;
une;
ville;
du;B-LOC
Languedoc;I-LOC
où;
l';
on;
trouve;
;
comme;
dans;
toutes;
les;
villes;
du;B-LOC
Midi;I-LOC
;
beaucoup;
de;
soleil;
;
pas;
mal;
de;
poussière;
;
un;
couvent;
de;
carmélites;B-ORG
et;
deux;
ou;
trois;
monuments;
romains;
.;
Mon;
père;
;
M.;B-PER
Eyssette;I-PER
;
qui;
faisait;
à;
cette;
époque;
le;
commerce;
des;
foulards;
;
avait;
;
aux;
portes;
de;
la;
ville;
;
une;
grande;
fabrique;
dans;
un;
pan;
de;
laquelle;
il;
s';
était;
taillé;
une;
habitation;
commode;
;
tout;
ombragée;
de;
platanes;
;
et;
séparée;
des;
ateliers;
par;
un;
vaste;
jardin;
.;
C';
est;
là;
que;
je;
suis;
venu;
au;
monde;
et;
que;
j';
ai;
passé;
les;
premières;
;
les;
seules;
bonnes;
années;
de;
ma;
vie;
.;
Aussi;
ma;
mémoire;
reconnaissante;
a;
-t;
-elle;
gardé;
du;
jardin;
;
de;
la;
fabrique;
et;
des;
platanes;
un;
impérissable;
souvenir;
;
et;
lorsque;
à;
la;
ruine;
de;
mes;
parents;
il;
m';
a;
fallu;
me;
séparer;
de;
ces;
choses;
;
je;
les;
ai;
positivement;
regrettées;
comme;
des;
êtres;
.;
Je;
dois;
dire;
;
pour;
commencer;
;
que;
ma;
naissance;
ne;
porta;
pas;
bonheur;
à;
la;B-ORG
maison;I-ORG
Eyssette;I-ORG
.;
La;B-PER
vieille;I-PER
Annou;I-PER
;
notre;
cuisinière;
;
m';
a;
souvent;
conté;
depuis;
comme;
quoi;
mon;
père;
;
en;
voyage;
à;
ce;
moment;
;
reçut;
en;
même;
temps;
la;
nouvelle;
de;
mon;
apparition;
dans;
le;
monde;
et;
celle;
de;
la;
disparition;
d';
un;
de;
ses;
clients;
de;
Marseille;B-LOC
;
qui;
lui;
emportait;
plus;
de;
quarante;
mille;
francs;
;
si;
bien;
que;
M.;B-PER
Eyssette;I-PER
;
heureux;
et;
désolé;
du;
même;
coup;
;
se;
demandait;
;
comme;
l';
autre;
;
s';
il;
devait;
pleurer;
pour;
la;
disparition;
du;
client;
de;
Marseille;B-LOC
;
ou;
rire;
pour;
l';
heureuse;
arrivée;
du;B-PER
Petit;I-PER
Daniel;I-PER
...;
Il;
fallait;
pleurer;
;
mon;
bon;
monsieur;B-PER
Eyssette;I-PER
;
